ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,score
JBMA.NS,2022-01-05,2022-01-13,250.62,286.5,159,5705.21,14.32,trail,67
POWERINDIA.NS,2022-01-14,2022-01-21,2637.12,3111.8,15,7120.22,18.0,target,70
ASTRAL.NS,2022-01-05,2022-01-24,1785.0,1634.61,22,-3308.49,-8.42,stop,82
THERMAX.NS,2022-01-06,2022-01-24,1826.49,1896.75,21,1475.43,3.85,trail,92
SUMICHEM.NS,2022-01-04,2022-01-25,381.33,367.38,104,-1451.16,-3.66,timeout,82
RKFORGE.NS,2022-01-06,2022-01-27,191.44,183.96,208,-1555.61,-3.91,timeout,70
HOMEFIRST.NS,2022-04-01,2022-04-22,757.68,746.6,52,-576.05,-1.46,timeout,82
TATAINVEST.NS,2022-04-04,2022-04-25,132.11,138.18,302,1832.34,4.59,timeout,68
DEEPAKFERT.NS,2022-04-06,2022-04-26,559.6,629.21,71,4942.03,12.44,trail,82
KEI.NS,2022-04-11,2022-05-02,1273.59,1246.82,31,-829.72,-2.1,timeout,70
REDINGTON.NS,2022-04-12,2022-05-04,135.02,127.58,296,-2203.62,-5.51,timeout,82
TATAINVEST.NS,2022-04-27,2022-05-10,141.55,131.54,282,-2824.21,-7.07,stop,80
BLS.NS,2022-07-12,2022-07-28,104.54,116.2,382,4457.03,11.16,trail,72
CGCL.NS,2022-07-19,2022-08-10,679.16,674.82,58,-251.84,-0.64,timeout,82
PVRINOX.NS,2022-07-27,2022-08-11,1953.0,2083.3,20,2606.05,6.67,trail,80
APARINDS.NS,2022-07-29,2022-08-11,1037.63,1129.34,38,3484.96,8.84,trail,82
HEROMOTOCO.NS,2022-08-18,2022-08-23,2546.39,2399.97,15,-2196.26,-5.75,stop,78
PHOENIXLTD.NS,2022-08-16,2022-09-06,651.59,697.19,61,2781.98,7.0,timeout,70
PCBL.NS,2022-08-17,2022-09-07,115.85,126.34,345,3619.34,9.06,timeout,70
CCL.NS,2022-08-24,2022-09-14,444.84,505.99,89,5441.76,13.74,timeout,72
SCHAEFFLER.NS,2022-07-29,2022-09-16,2560.6,3304.44,15,11157.59,29.05,trail,70
KEI.NS,2022-07-29,2022-09-16,1248.71,1491.92,32,7782.65,19.48,trail,82
MARICO.NS,2022-09-23,2022-09-27,528.87,499.65,75,-2191.51,-5.53,stop,90
360ONE.NS,2022-09-08,2022-09-29,400.7,408.3,99,752.03,1.9,timeout,68
CONCOR.NS,2022-09-09,2022-09-30,692.1,675.02,57,-973.21,-2.47,timeout,72
GRANULES.NS,2022-09-16,2022-10-07,316.01,343.86,126,3508.94,8.81,timeout,68
APOLLOTYRE.NS,2022-10-20,2022-11-10,274.46,280.82,145,921.49,2.32,timeout,82
TIINDIA.NS,2022-10-27,2022-11-10,2827.94,2563.53,14,-3701.78,-9.35,stop,70
BDL.NS,2022-10-21,2022-11-11,452.27,475.59,88,2051.88,5.16,timeout,92
CRAFTSMAN.NS,2022-10-21,2022-11-15,2971.49,3108.66,13,1783.22,4.62,trail,70
CGCL.NS,2022-10-28,2022-11-18,717.51,697.03,55,-1126.78,-2.86,timeout,100
ASAHIINDIA.NS,2022-11-15,2022-11-30,642.28,600.05,62,-2618.27,-6.58,stop,78
GABRIEL.NS,2022-11-11,2022-12-05,159.18,182.25,251,5790.2,14.49,trail,90
HEROMOTOCO.NS,2022-11-16,2022-12-07,2374.71,2399.93,16,403.53,1.06,timeout,78
GRAVITA.NS,2022-12-07,2022-12-12,378.51,446.64,105,7153.88,18.0,target,70
SCI.NS,2022-11-25,2022-12-16,128.99,121.5,310,-2320.32,-5.8,timeout,82
TITAGARH.NS,2022-11-16,2022-12-19,173.59,190.59,230,3909.45,9.79,trail,70
TIINDIA.NS,2022-12-01,2022-12-22,2767.0,2913.33,14,2048.57,5.29,timeout,70
LTFOODS.NS,2022-12-21,2022-12-22,123.09,112.59,324,-3399.81,-8.53,stop,67
KPIL.NS,2022-12-13,2022-12-23,533.57,487.01,74,-3444.96,-8.72,stop,70
SCI.NS,2022-12-21,2022-12-23,133.22,120.93,300,-3686.92,-9.23,stop,82
AEGISLOG.NS,2022-12-08,2022-12-29,325.93,339.54,122,1659.77,4.17,timeout,70
JKCEMENT.NS,2023-04-06,2023-04-27,2914.58,2880.01,13,-449.3,-1.19,timeout,78
BALRAMCHIN.NS,2023-04-10,2023-05-02,411.58,408.29,97,-318.43,-0.8,timeout,67
TECHNOE.NS,2023-04-10,2023-05-02,335.79,358.44,119,2694.62,6.74,timeout,82
EXIDEIND.NS,2023-04-12,2023-05-03,181.85,188.7,219,1500.0,3.77,timeout,100
ANANDRATHI.NS,2023-04-13,2023-05-04,204.99,214.68,195,1889.29,4.73,timeout,90
IIFL.NS,2023-04-28,2023-05-11,478.38,436.29,83,-3494.12,-8.8,stop,92
ZENSARTECH.NS,2023-05-05,2023-05-16,281.34,339.54,142,8264.49,20.69,trail,70
BDL.NS,2023-05-04,2023-05-25,514.31,496.46,77,-1373.95,-3.47,timeout,78
SUPREMEIND.NS,2023-05-05,2023-05-26,2724.02,2738.0,14,195.71,0.51,timeout,78
ARE&M.NS,2023-05-08,2023-05-29,595.66,579.32,67,-1095.04,-2.74,timeout,68
KIMS.NS,2023-05-16,2023-06-06,307.56,323.98,130,2134.6,5.34,timeout,90
NATCOPHARM.NS,2023-05-30,2023-06-20,635.96,614.58,62,-1325.86,-3.36,timeout,90
JKCEMENT.NS,2023-05-30,2023-06-20,3072.86,3310.95,13,3095.16,7.75,timeout,78
MCX.NS,2023-05-31,2023-06-21,284.88,317.86,140,4617.2,11.58,timeout,70
ABREL.NS,2023-06-21,2023-06-23,839.4,792.6,47,-2199.43,-5.58,stop,100
COCHINSHIP.NS,2023-06-07,2023-06-28,278.34,274.25,143,-584.51,-1.47,timeout,67
BSOFT.NS,2023-06-28,2023-07-19,335.88,375.33,119,4694.16,11.74,timeout,78
POLYCAB.NS,2023-06-30,2023-07-19,3583.23,4228.22,11,7094.8,18.0,target,78
PERSISTENT.NS,2023-07-20,2023-07-21,2526.58,2361.72,15,-2472.89,-6.53,stop,78
JWL.NS,2023-05-17,2023-07-31,118.14,208.29,338,30471.38,76.31,trail,82
RADICO.NS,2023-06-22,2023-08-04,1225.29,1367.42,32,4548.28,11.6,trail,100
HAVELLS.NS,2023-07-20,2023-08-10,1340.87,1265.4,29,-2188.89,-5.63,timeout,100
GICRE.NS,2023-07-24,2023-08-14,180.1,180.97,222,193.79,0.48,timeout,68
CHOLAHLDNG.NS,2023-08-01,2023-08-14,982.39,907.73,40,-2986.47,-7.6,stop,70
CARTRADE.NS,2023-08-11,2023-08-17,540.0,498.82,74,-3046.95,-7.63,stop,70
GABRIEL.NS,2023-08-16,2023-08-23,226.32,267.06,176,7169.8,18.0,target,92
ACUTAAS.NS,2023-08-07,2023-08-28,616.62,663.79,64,3018.88,7.65,timeout,82
GESHIP.NS,2023-08-18,2023-09-08,714.37,760.81,55,2554.09,6.5,timeout,82
LATENTVIEW.NS,2023-08-17,2023-09-12,407.0,423.48,98,1614.65,4.05,trail,70
EXIDEIND.NS,2023-06-21,2023-09-13,218.2,259.99,183,7647.07,19.15,trail,78
KARURVYSYA.NS,2023-08-24,2023-09-14,101.68,105.61,393,1544.24,3.86,timeout,82
RITES.NS,2023-09-04,2023-09-25,242.71,229.25,164,-2207.29,-5.55,timeout,67
GESHIP.NS,2023-09-11,2023-10-03,768.28,788.15,52,1033.53,2.59,timeout,78
BLUEDART.NS,2023-09-14,2023-10-05,6780.79,6684.73,5,-480.26,-1.42,timeout,78
COHANCE.NS,2023-09-15,2023-10-06,532.9,565.25,75,2426.25,6.07,timeout,90
LALPATHLAB.NS,2023-09-15,2023-10-06,1134.76,1207.12,35,2532.76,6.38,timeout,78
JKTYRE.NS,2023-09-26,2023-10-17,272.52,321.58,146,7161.87,18.0,target,82
CARTRADE.NS,2023-10-09,2023-10-20,601.6,648.66,66,3106.22,7.82,trail,67
PATANJALI.NS,2023-10-11,2023-10-25,429.44,402.17,93,-2536.03,-6.35,stop,78
LTF.NS,2023-10-09,2023-10-30,130.19,127.26,307,-899.65,-2.25,timeout,70
ABREL.NS,2023-10-11,2023-11-01,1151.21,1074.39,34,-2611.9,-6.67,timeout,70
KARURVYSYA.NS,2023-10-18,2023-11-08,118.2,123.07,338,1643.04,4.11,timeout,70
JSWENERGY.NS,2023-11-16,2023-12-07,397.26,453.45,100,5619.94,14.15,timeout,70
SARDAEN.NS,2023-11-20,2023-12-11,232.05,254.87,172,3926.18,9.84,timeout,82
KEI.NS,2023-11-20,2023-12-11,2713.99,2920.92,14,2897.05,7.62,timeout,92
MFSL.NS,2023-11-20,2023-12-11,950.0,1036.7,42,3641.4,9.13,timeout,82
JWL.NS,2023-11-20,2023-12-11,333.03,314.64,120,-2206.96,-5.52,timeout,70
INDUSTOWER.NS,2023-12-08,2023-12-20,195.0,183.84,205,-2288.57,-5.72,stop,78
EIHOTEL.NS,2023-12-12,2023-12-20,248.2,230.39,161,-2867.13,-7.17,stop,90
JBMA.NS,2023-12-12,2024-01-01,688.04,811.89,58,7183.15,18.0,target,70
FACT.NS,2023-12-12,2024-01-02,788.9,819.71,50,1540.36,3.91,timeout,70
NAUKRI.NS,2023-12-12,2024-01-02,965.1,1012.24,41,1932.51,4.88,timeout,90
ABSLAMC.NS,2023-12-21,2024-01-11,439.58,444.94,90,481.96,1.22,timeout,68
AUBANK.NS,2023-12-21,2024-01-11,747.17,773.67,53,1404.47,3.55,timeout,68
ASAHIINDIA.NS,2024-01-03,2024-01-18,580.34,539.14,68,-2801.88,-7.1,stop,78
BHEL.NS,2024-01-02,2024-01-23,201.75,201.7,198,-9.84,-0.02,timeout,67
GODFRYPHLP.NS,2024-01-03,2024-01-24,710.56,716.93,56,357.03,0.9,timeout,90
CEATLTD.NS,2024-01-23,2024-01-29,2825.18,2631.65,14,-2709.35,-6.85,stop,78
TITAGARH.NS,2024-01-12,2024-02-02,1088.01,1037.25,36,-1827.43,-4.67,timeout,70
VTL.NS,2024-01-12,2024-02-02,393.64,413.93,101,2049.76,5.16,timeout,90
ELGIEQUIP.NS,2024-01-24,2024-02-07,549.57,648.5,72,7122.47,18.0,target,80
CANFINHOME.NS,2024-02-08,2024-02-12,827.49,756.54,48,-3405.96,-8.58,stop,70
JBMA.NS,2024-02-13,2024-02-13,1047.7,942.93,38,-3981.28,-10.0,stop,70
NATCOPHARM.NS,2024-01-25,2024-02-15,854.72,876.71,46,1011.51,2.57,timeout,90
ACC.NS,2024-01-30,2024-02-20,2476.48,2652.93,16,2823.26,7.13,timeout,67
JUBLPHARMA.NS,2024-02-05,2024-02-26,579.91,567.7,68,-830.46,-2.11,timeout,82
REDINGTON.NS,2024-02-05,2024-02-26,178.05,193.08,224,3365.36,8.44,timeout,78
AEGISLOG.NS,2024-02-19,2024-03-11,425.64,395.42,93,-2809.81,-7.1,timeout,67
CASTROLIND.NS,2024-02-19,2024-03-11,184.47,178.41,216,-1307.17,-3.28,timeout,70
SOBHA.NS,2024-02-28,2024-03-11,1609.2,1448.28,24,-3862.08,-10.0,stop,67
SONACOMS.NS,2024-02-21,2024-03-13,632.42,632.92,63,31.03,0.08,timeout,70
JSWENERGY.NS,2024-02-27,2024-03-13,519.89,471.02,76,-3714.13,-9.4,stop,70
ARE&M.NS,2024-03-12,2024-03-13,860.59,803.57,46,-2622.64,-6.63,stop,90
TORNTPOWER.NS,2024-03-13,2024-03-26,1168.93,1379.34,34,7153.88,18.0,target,70
OFSS.NS,2024-03-13,2024-04-03,7526.73,7947.85,5,2105.6,5.59,timeout,92
LTFOODS.NS,2024-03-26,2024-04-16,192.8,199.83,207,1456.61,3.65,timeout,67
MANKIND.NS,2024-03-27,2024-04-18,2271.1,2394.71,17,2101.22,5.44,timeout,82
RVNL.NS,2024-03-27,2024-04-18,259.41,256.74,154,-410.75,-1.03,timeout,70
MEDANTA.NS,2024-04-02,2024-04-23,1329.52,1397.85,30,2049.76,5.14,timeout,82
BLUESTARCO.NS,2024-04-04,2024-04-25,1346.86,1444.55,29,2833.03,7.25,timeout,82
PRESTIGE.NS,2024-04-23,2024-05-03,1249.31,1474.19,32,7196.04,18.0,target,70
MRPL.NS,2024-04-26,2024-05-07,243.48,219.13,164,-3993.05,-10.0,stop,67
GMDCLTD.NS,2024-04-25,2024-05-10,399.0,359.9,100,-3910.18,-9.8,stop,70
FORTIS.NS,2024-04-23,2024-05-14,443.49,443.04,90,-40.32,-0.1,timeout,90
BIOCON.NS,2024-04-25,2024-05-16,290.86,304.55,137,1876.39,4.71,timeout,70
TRITURBINE.NS,2024-05-06,2024-05-27,572.2,567.32,69,-336.96,-0.85,timeout,82
GILLETTE.NS,2024-05-08,2024-05-29,6602.01,6810.98,6,1253.79,3.17,timeout,82
KEC.NS,2024-05-17,2024-06-04,771.48,703.97,51,-3442.71,-8.75,stop,82
OIL.NS,2024-05-17,2024-06-04,405.95,365.56,98,-3958.4,-9.95,stop,72
UNOMINDA.NS,2024-05-22,2024-06-04,761.93,826.51,52,3358.44,8.48,trail,90
ARE&M.NS,2024-05-28,2024-06-04,1201.18,1081.07,33,-3963.91,-10.0,stop,67
J&KBANK.NS,2024-06-04,2024-06-04,129.78,120.72,308,-2787.99,-6.97,stop,68
ARE&M.NS,2024-06-07,2024-06-10,1256.8,1483.03,31,7012.97,18.0,target,70
BBTC.NS,2024-06-10,2024-06-24,1574.5,1857.91,25,7085.23,18.0,target,70
ZENSARTECH.NS,2024-06-10,2024-07-01,639.1,716.76,62,4815.03,12.15,timeout,67
BLUEDART.NS,2024-06-11,2024-07-02,7619.75,8158.94,5,2695.94,7.08,timeout,70
WOCKPHARMA.NS,2024-06-10,2024-07-09,580.0,857.85,68,18894.07,47.91,trail,70
IEX.NS,2024-06-07,2024-07-10,156.77,166.72,255,2536.43,6.34,trail,70
VIJAYA.NS,2024-07-10,2024-07-12,847.34,779.98,47,-3166.09,-7.95,stop,70
GODREJIND.NS,2024-06-26,2024-07-18,837.95,885.45,47,2232.5,5.67,timeout,82
REDINGTON.NS,2024-07-02,2024-07-19,208.66,195.51,191,-2510.81,-6.3,stop,78
KEC.NS,2024-07-04,2024-07-23,924.68,832.21,43,-3976.14,-10.0,stop,92
CEATLTD.NS,2024-07-19,2024-07-23,2713.64,2442.27,14,-3799.09,-10.0,stop,82
CAPLIPOINT.NS,2024-07-11,2024-08-01,1530.79,1574.38,26,1133.28,2.85,timeout,92
LTFOODS.NS,2024-07-15,2024-08-05,283.97,291.37,140,1035.86,2.61,timeout,67
NEWGEN.NS,2024-07-24,2024-08-05,1053.0,947.7,37,-3896.08,-10.0,stop,70
AIAENG.NS,2024-07-23,2024-08-13,4332.13,4507.79,9,1580.98,4.05,timeout,92
TRITURBINE.NS,2024-08-08,2024-08-13,631.4,745.05,63,7160.05,18.0,target,70
GLAXO.NS,2024-07-24,2024-08-14,2602.56,2704.09,15,1522.87,3.9,timeout,82
MINDACORP.NS,2024-08-02,2024-08-23,510.22,602.06,78,7163.44,18.0,target,78
ABSLAMC.NS,2024-08-16,2024-09-06,674.12,688.79,59,865.48,2.18,timeout,72
NAM-INDIA.NS,2024-08-20,2024-09-10,689.42,644.63,58,-2598.11,-6.5,timeout,70
CHOICEIN.NS,2024-08-20,2024-09-10,409.8,459.65,97,4835.45,12.16,timeout,78
DEVYANI.NS,2024-08-26,2024-09-16,185.93,187.55,215,348.3,0.87,timeout,82
VIJAYA.NS,2024-08-07,2024-09-17,809.26,884.23,49,3673.54,9.26,trail,72
PAYTM.NS,2024-09-11,2024-10-03,656.5,727.55,60,4263.0,10.82,timeout,70
TEGA.NS,2024-09-11,2024-10-03,1791.31,1940.32,22,3278.12,8.32,timeout,78
BLUESTARCO.NS,2024-09-10,2024-10-07,1793.89,2000.15,22,4537.55,11.5,trail,70
ACE.NS,2024-09-18,2024-10-07,1368.93,1280.98,29,-2550.66,-6.43,stop,78
LLOYDSME.NS,2024-09-18,2024-10-07,824.89,926.01,48,4853.59,12.26,trail,70
HBLENGINE.NS,2024-10-04,2024-10-07,640.54,593.62,62,-2909.03,-7.33,stop,72
DEEPAKFERT.NS,2024-10-04,2024-10-07,1117.75,1005.97,35,-3912.11,-10.0,stop,82
UTIAMC.NS,2024-12-06,2024-12-20,1242.97,1149.12,32,-3003.01,-7.55,stop,92
GILLETTE.NS,2024-12-06,2024-12-23,9700.91,8730.82,4,-3880.36,-10.0,stop,82
FLUOROCHEM.NS,2024-12-06,2024-12-27,4301.6,4395.63,9,846.23,2.19,timeout,70
PRESTIGE.NS,2024-12-17,2024-12-30,1828.89,1686.7,21,-2986.13,-7.77,stop,70
SYRMA.NS,2024-12-12,2025-01-02,598.69,624.09,66,1676.6,4.24,timeout,92
WELCORP.NS,2025-01-03,2025-01-10,812.9,756.4,49,-2768.33,-6.95,stop,90
FSL.NS,2025-01-03,2025-01-13,381.84,347.95,104,-3524.37,-8.87,stop,82
SUNDARMFIN.NS,2025-03-24,2025-03-27,4904.13,4498.31,8,-3246.53,-8.27,stop,70
UPL.NS,2025-03-24,2025-04-01,655.55,609.76,61,-2792.81,-6.98,stop,90
ACUTAAS.NS,2025-03-24,2025-04-07,1231.27,975.56,32,-8182.87,-20.77,stop,67
MANAPPURAM.NS,2025-03-21,2025-04-11,223.93,223.87,178,-10.58,-0.03,timeout,82
TARIL.NS,2025-04-23,2025-04-25,579.76,521.78,68,-3942.36,-10.0,stop,70
RADICO.NS,2025-04-16,2025-05-07,2401.18,2436.95,16,572.29,1.49,timeout,82
AIIL.NS,2025-04-23,2025-05-09,376.01,338.41,106,-3985.73,-10.0,stop,67
KIMS.NS,2025-04-24,2025-05-09,689.0,611.0,58,-4524.0,-11.32,stop,82
NAVINFLUOR.NS,2025-04-28,2025-05-19,4454.35,4293.15,8,-1289.61,-3.62,timeout,82
SHYAMMETL.NS,2025-05-16,2025-05-26,938.88,861.42,42,-3253.21,-8.25,stop,70
GABRIEL.NS,2025-05-15,2025-06-05,633.43,636.22,63,175.66,0.44,timeout,82
GODREJIND.NS,2025-05-19,2025-06-06,1142.0,1347.56,35,7194.6,18.0,target,82
INDIANB.NS,2025-05-20,2025-06-10,589.07,615.64,67,1779.96,4.51,timeout,82
PNBHOUSING.NS,2025-06-09,2025-06-13,1102.73,1036.02,36,-2401.75,-6.05,stop,78
HINDPETRO.NS,2025-06-12,2025-06-13,395.41,362.62,101,-3311.78,-8.29,stop,90
SUNDARMFIN.NS,2025-05-27,2025-06-17,5315.02,4819.4,7,-3469.38,-9.33,stop,72
ASAHIINDIA.NS,2025-06-12,2025-06-23,759.64,696.02,52,-3308.25,-8.37,stop,70
ASTERDM.NS,2025-06-17,2025-07-08,582.52,617.71,68,2392.72,6.04,timeout,82
CHOICEIN.NS,2025-04-16,2025-07-14,537.45,689.45,74,11248.35,28.28,trail,70
CRISIL.NS,2025-06-23,2025-07-14,5506.84,5894.36,7,2712.61,7.04,timeout,92
HOMEFIRST.NS,2025-06-25,2025-07-16,1335.76,1405.13,29,2011.9,5.19,timeout,70
JMFINANCIL.NS,2025-06-26,2025-07-17,152.14,165.07,262,3385.71,8.49,timeout,82
BLUEJET.NS,2025-07-15,2025-07-23,963.11,860.49,41,-4207.4,-10.66,stop,70
JSWINFRA.NS,2025-07-24,2025-07-29,322.28,302.78,124,-2417.73,-6.05,stop,78
KPRMILL.NS,2025-07-09,2025-07-30,1196.51,1172.54,33,-791.09,-2.0,timeout,70
RRKABEL.NS,2025-07-15,2025-08-05,1372.49,1260.63,29,-3243.89,-8.15,stop,70
SHYAMMETL.NS,2025-07-17,2025-08-07,899.11,964.53,44,2878.22,7.28,timeout,78
ECLERX.NS,2025-07-18,2025-08-08,1847.54,2054.14,21,4338.56,11.18,timeout,92
CANFINHOME.NS,2025-08-21,2025-08-26,774.89,731.3,51,-2222.96,-5.63,stop,78
DABUR.NS,2025-08-21,2025-09-11,526.31,534.31,76,608.25,1.52,timeout,90
SAPPHIRE.NS,2025-09-11,2025-09-23,332.9,307.1,120,-3095.97,-7.75,stop,70
